Shape,Carat,Color,Clarity,Cut,Price
Round,0.511,G,SI1,AGS - Ideal,$1,737
Round,0.571,I,SI1,AGS - Ideal,$1,743
Round,0.548,I,VS1,AGS - Ideal,$1,756
Round,0.504,F,SI1,AGS - Ideal,$1,756
Round,0.533,I,VVS1,AGS - Ideal,$1,760
Round,0.514,G,SI1,AGS - Ideal,$1,802
Round,0.563,I,VS1,AGS - Ideal,$1,827
Round,0.531,G,SI1,AGS - Ideal,$1,840
Round,0.522,H,VS2,AGS - Ideal,$1,873
Round,0.488,D,VS1,AGS - Ideal,$1,873
Round,0.545,G,SI1,AGS - Ideal,$1,908
Round,0.503,H,VS1,AGS - Ideal,$1,911
Round,0.506,H,VS1,AGS - Ideal,$1,911
Round,0.621,J,VVS1,AGS - Ideal,$1,940
Round,0.504,G,VS2,AGS - Ideal,$1,942
Round,0.542,H,VS2,AGS - Ideal,$1,945
Round,0.527,H,VS2,AGS - Ideal,$1,946
Round,0.518,F,SI1,Advance -Ideal,$1,946
Round,0.514,H,VS1,AGS - Ideal,$1,949
Round,0.517,H,VS1,AGS - Ideal,$1,949
Round,0.606,I,SI1,AGS - Ideal,$1,980
Round,0.523,H,VS1,AGS - Ideal,$1,987
Round,0.500,G,VS1,AGS - Ideal,$1,998
Round,0.518,E,SI1,AGS - Ideal,$2,014
Round,0.542,H,VVS2,AGS - Ideal,$2,017
Round,0.503,F,VS2,AGS - Ideal,$2,022
Round,0.523,D,SI1,AGS - Ideal,$2,022
Round,0.576,H,VS2,AGS - Ideal,$2,039
Round,0.506,G,VVS2,AGS - Ideal,$2,045
Round,0.730,K,VS2,AGS - Ideal,$2,050
Round,0.517,G,VS1,AGS - Ideal,$2,062
Round,0.510,F,VS2,AGS - Ideal,$2,062
Round,0.606,I,VVS2,AGS - Ideal,$2,078
Round,0.554,E,SI1,AGS - Ideal,$2,087
Round,0.548,H,VVS2,AGS - Ideal,$2,099
Round,0.508,G,VS2,AGS - Ideal,$2,112
Round,0.571,F,SI1,AGS - Ideal,$2,116
Round,0.576,F,SI1,AGS - Ideal,$2,116
Round,0.563,H,VS1,AGS - Ideal,$2,125
Round,0.503,E,VS2,AGS - Ideal,$2,129
Round,0.507,E,VS2,AGS - Ideal,$2,129
Round,0.507,G,VS1,AGS - Ideal,$2,129
Round,0.600,H,SI1,AGS - Ideal,$2,140
Round,0.513,F,VS2,AGS - Ideal,$2,140
Round,0.518,D,SI1,AGS - Ideal,$2,143
Round,0.553,G,VS2,AGS - Ideal,$2,148
Round,0.510,G,VS2,AGS - Ideal,$2,154
Round,0.510,G,VS2,AGS - Ideal,$2,154
Round,0.513,F,VS1,AGS - Ideal,$2,171
Round,0.511,E,VS2,AGS - Ideal,$2,171
Round,0.567,G,VS2,AGS - Ideal,$2,185
Round,0.521,E,VS2,AGS - Ideal,$2,190
Round,0.706,J,SI1,AGS - Ideal,$2,192
Round,0.808,K,SI1,AGS - Ideal,$2,201
Round,0.522,E,VS2,AGS - Ideal,$2,213
Round,0.525,E,VS2,AGS - Ideal,$2,213
Round,0.521,E,VS2,AGS - Ideal,$2,215
Round,0.510,G,VS1,AGS - Ideal,$2,220
