Shape,Carat,Color,Clarity,Cut,Depth,Table,Polish,Symmetry,Measurement,Lab Certification,Price
Asscher,1.01,J,VS2,,68.8,64,Excellent,Excellent,5.44X5.40X3.71,GIA,US$3,213
Asscher,1.07,I,VS1,,72.3,69,Very Good,Good,5.72X5.67X4.10,GIA,US$3,605
Asscher,1.20,J,VS1,,68.4,64,Excellent,Excellent,5.88X5.72X3.91,GIA,US$5,115
Asscher,1.50,H,VS1,,69.7,65,Excellent,Excellent,6.22X5.97X4.16,GIA,US$11,753
Asscher,1.50,E,SI1,,69.9,66,Excellent,Excellent,6.22X6.03X4.22,GIA,US$12,108
Asscher,1.51,J,VS1,,67.2,62,Excellent,Excellent,6.39X6.28X4.23,GIA,US$8,816
Asscher,1.60,G,IF,,67.3,62,Excellent,Excellent,6.47X6.36X4.28,GIA,US$15,926
Asscher,1.70,G,VS2,,68.6,64,Excellent,Excellent,6.37X6.33X4.34,GIA,US$12,395
Asscher,1.80,G,VS2,,70.1,65,Excellent,Excellent,6.66X6.57X4.60,GIA,US$13,867
Asscher,2.04,J,VS1,,66.3,69,Excellent,Excellent,7.08X6.99X4.64,GIA,US$14,868
Asscher,2.07,D,VS2,,66.4,54,Excellent,Very Good,7.34X7.00X4.64,GIA,US$23,611
Asscher,2.40,J,VVS2,,65.7,61,Excellent,Very Good,7.57X7.46X4.90,GIA,US$20,133
Asscher,3.01,G,VVS2,,69.5,65,Excellent,Very Good,7.90X7.69X5.35,GIA,US$45,549
Asscher,5.25,J,VVS2,,67.6,62,Very Good,Very Good,9.91X9.53X6.44,GIA,US$64,232
Asscher,1.03,M,VS1,,68.4,63,Excellent,Very Good,5.61X5.54X3.79,GIA,US$2,381
Asscher,1.21,H,VS1,,68.2,68,Excellent,Excellent,5.72X5.70X3.89,GIA,US$6,747
Asscher,2.01,G,VS2,,67.9,63,Excellent,Excellent,7.07X6.86X4.66,GIA,US$23,573
Asscher,0.52,K,SI2,,67.4,59,Excellent,Very Good,4.81X4.33X2.92,GIA,US$707
Cushion,0.52,G,VS2,,65.2,60,Very Good,Good,5.16X4.38X2.85,GIA,US$1,310
Cushion,0.71,E,VS1,,67.4,60,Excellent,Very Good,5.04X4.91X3.31,GIA,US$2,717
Cushion,0.71,F,VS2,,65.7,64,Excellent,Very Good,5.18X5.00X3.28,GIA,US$2,672
Cushion,1.25,G,SI2,,67.9,58,Excellent,Good,6.43X5.79X3.93,AGS,US$6,700
Cushion,1.21,J,SI1,,67.5,61,Excellent,Very Good,5.86X5.82X3.93,GIA,US$4,656
Cushion,0.80,D,SI1,,67.8,62,Excellent,Good,5.36X5.34X3.62,GIA,US$4,032
Cushion,0.80,D,SI1,,68.2,63,Excellent,Very Good,5.7X5.2X3.55,GIA,US$3,968
Cushion,1.00,H,SI1,,69.9,62,Very Good,Very Good,5.81X5.51X3.85,GIA,US$5,400
