Shape Carat Cut Color Clarity Polish Symmetry "Lab Certification" Price
Pear 0.36 Excellent L I1 "Very Good" Good GIA $209
Round 0.30 "Very Good" M VS2 "Very Good" "Very Good" GIA $209
Round 0.23 "Very Good" F I1 "Very Good" Good GIA $209
Pear 0.32 Excellent M VS2 Good Good GIA $209
Round 0.30 Excellent K I1 Excellent Excellent GIA $209
Pear 0.41 Fair M SI1 "Very Good" "Very Good" GIA $209
Round 0.18 "Very Good" I VVS1 "Very Good" "Very Good" GIA $209
Round 0.18 "Very Good" E VS1 Excellent Excellent GIA $209
Round 0.24 Good M VS1 Good Fair GIA $210
Pear 0.41 Good K I1 "Very Good" "Very Good" GIA $210
Pear 0.30 Good J SI2 Good Good GIA $210
Round 0.24 Good M VVS2 Good Fair GIA $211
Emerald 0.30 Excellent K VS1 "Very Good" "Very Good" GIA $211
Pear 0.30 Excellent J SI2 Excellent Good GIA $211
Pear 0.30 Excellent J SI2 "Very Good" "Very Good" GIA $211
Round 0.31 Excellent M VS2 "Very Good" "Very Good" GIA $211
Round 0.30 "Very Good" L VS1 "Very Good" Good GIA $211
Round 0.21 Excellent J VS1 Excellent Excellent GIA $211
Round 0.18 Excellent H SI1 Excellent Excellent GIA $211
Round 0.30 "Very Good" M VVS2 Excellent "Very Good" GIA $211
Round 0.18 "Very Good" I VVS1 Excellent Excellent GIA $211
Round 0.20 "Very Good" J VS1 "Very Good" "Very Good" GIA $212
Round 0.23 "Very Good" J VVS2 "Very Good" Good GIA $212
Round 0.18 Excellent H VVS1 Excellent "Very Good" GIA $212
Round 0.19 "Very Good" I VS2 Good "Very Good" GIA $212
Round 0.26 Excellent J VVS2 "Very Good" "Very Good" GIA $213
Round 0.20 Excellent J VVS2 "Very Good" Excellent GIA $213
Princess 0.31 "Very Good" G I1 "Very Good" Fair GIA $213
Round 0.18 "Very Good" G VVS1 "Very Good" "Very Good" GIA $213
Round 0.18 "Very Good" E SI1 "Very Good" "Very Good" GIA $213
Round 0.18 Excellent H VS2 "Very Good" Excellent GIA $213
Round 0.19 Excellent I VS2 Excellent Excellent GIA $214
Round 0.18 Good E VS1 "Very Good" Good GIA $214
Emerald 0.24 "Very Good" J VS2 "Very Good" "Very Good" GIA $215
Round 0.20 "Very Good" J VVS1 Excellent "Very Good" GIA $215
Round 0.18 Good H VS1 "Very Good" "Very Good" GIA $216
Round 0.18 Excellent I VVS1 Excellent "Very Good" GIA $216
Round 0.18 Excellent E SI1 Excellent "Very Good" GIA $216
Round 0.29 "Very Good" L SI1 "Very Good" "Very Good" GIA $216
Round 0.18 Excellent E VS1 Excellent "Very Good" GIA $216
Round 0.19 "Very Good" J VVS2 Excellent Excellent GIA $216
Marquise 0.31 Excellent E I1 Good Good GIA $216
Round 0.18 Excellent G VVS2 "Very Good" "Very Good" GIA $216
Round 0.20 Excellent J VVS1 "Very Good" "Very Good" GIA $216
Marquise 0.41 Fair I SI2 Good Good GIA $217
Round 0.20 Excellent J VS1 "Very Good" "Very Good" GIA $217
Round 0.20 Excellent J VS1 Excellent Excellent GIA $217
Round 0.18 Excellent E SI1 Excellent "Very Good" GIA $217
Round 0.18 Excellent E SI1 "Very Good" "Very Good" GIA $217
Round 0.18 Good E VS2 "Very Good" Good GIA $218
Pear 0.30 Excellent F I1 Good Good GIA $218
Round 0.32 Excellent L I1 "Very Good" Excellent GIA $218
Round 0.18 Excellent D SI1 Excellent Excellent GIA $218
Round 0.18 "Very Good" G SI1 "Very Good" "Very Good" GIA $218
Round 0.18 "Very Good" E VS1 "Very Good" "Very Good" GIA $218
Round 0.18 "Very Good" G VVS2 Good Good GIA $219
Round 0.32 "Very Good" K I1 "Very Good" "Very Good" GIA $219
Pear 0.19 Excellent I VVS1 Excellent "Very Good" GIA $219
Round 0.18 "Very Good" G VS1 Excellent "Very Good" GIA $219
Round 0.18 Excellent G VVS1 Excellent "Very Good" GIA $219
Round 0.18 Excellent E VS1 Excellent "Very Good" GIA $219
Round 0.18 Good E SI1 "Very Good" Good GIA $220
Round 0.18 Excellent F SI1 Excellent Excellent GIA $220
Round 0.30 Excellent L VVS1 "Very Good" "Very Good" GIA $220
Round 0.30 Excellent I I1 Excellent Excellent GIA $220
Round 0.18 Excellent J VS1 "Very Good" Excellent GIA $220
Round 0.18 Good D VS1 Fair Good GIA $220
Round 0.23 Excellent J VS1 "Very Good" "Very Good" GIA $220
Oval 0.30 Excellent L VS2 "Very Good" "Very Good" GIA $221
Round 0.31 Good J I1 "Very Good" Fair GIA $221
Round 0.30 Good G I1 Excellent Good GIA $221
Round 0.31 Excellent M VS2 Excellent Excellent GIA $221
Round 0.18 "Very Good" D VS1 "Very Good" Excellent GIA $221
Round 0.30 Good M SI1 Good Fair GIA $221
